v2,2013-01-14T21:05:01Z,-83.10527128,42.49053273
v2,2013-01-14T21:05:02Z,-83.10526903,42.49048438
v2,2013-01-14T21:05:03Z,-83.10526679,42.49043603
v2,2013-01-14T21:05:04Z,-83.10526455,42.49038767
v2,2013-01-14T21:05:05Z,-83.10526231,42.49033932
v2,2013-01-14T21:05:06Z,-83.10526007,42.49029097
v2,2013-01-14T21:05:07Z,-83.10525783,42.49024261
v2,2013-01-14T21:05:08Z,-83.10525559,42.49019426
v2,2013-01-14T21:05:09Z,-83.10525335,42.4901459
v2,2013-01-14T21:05:10Z,-83.1052511,42.49009755
v2,2013-01-14T21:05:11Z,-83.10524886,42.4900492
v2,2013-01-14T21:05:12Z,-83.10524662,42.49000084
v2,2013-01-14T21:05:13Z,-83.10524438,42.48995249
v2,2013-01-14T21:05:14Z,-83.10524214,42.48990414
v2,2013-01-14T21:05:15Z,-83.1052399,42.48985578
v2,2013-01-14T21:05:16Z,-83.10523766,42.48980743
v2,2013-01-14T21:05:17Z,-83.10523542,42.48975908
v2,2013-01-14T21:05:18Z,-83.10523318,42.48971072
v2,2013-01-14T21:05:19Z,-83.10523093,42.48966237
v2,2013-01-14T21:05:20Z,-83.10522869,42.48961401
v2,2013-01-14T21:05:21Z,-83.10522645,42.48956566
v2,2013-01-14T21:05:22Z,-83.10522421,42.48951731
v2,2013-01-14T21:05:23Z,-83.10522197,42.48946895
v2,2013-01-14T21:05:24Z,-83.10521973,42.4894206
v2,2013-01-14T21:05:25Z,-83.10521749,42.48937225
v2,2013-01-14T21:05:26Z,-83.10521525,42.48932389
v2,2013-01-14T21:05:27Z,-83.105213,42.48927554
v2,2013-01-14T21:05:28Z,-83.10521076,42.48922719
v2,2013-01-14T21:05:29Z,-83.10520852,42.48917883
v2,2013-01-14T21:05:30Z,-83.10520628,42.48913048
v2,2013-01-14T21:05:31Z,-83.10520404,42.48908212
v2,2013-01-14T21:05:32Z,-83.1052018,42.48903377
v2,2013-01-14T21:05:33Z,-83.10519956,42.48898542
v2,2013-01-14T21:05:34Z,-83.10519732,42.48893706
v2,2013-01-14T21:05:35Z,-83.10519507,42.48888871
v2,2013-01-14T21:05:36Z,-83.10519283,42.48884036
v2,2013-01-14T21:05:37Z,-83.10519059,42.488792
v2,2013-01-14T21:05:38Z,-83.10518835,42.48874365
v2,2013-01-14T21:05:39Z,-83.10518611,42.4886953
v2,2013-01-14T21:05:40Z,-83.10518387,42.48864694
v2,2013-01-14T21:05:41Z,-83.10518163,42.48859859
v2,2013-01-14T21:05:42Z,-83.10517939,42.48855023
v2,2013-01-14T21:05:43Z,-83.10517714,42.48850188
v2,2013-01-14T21:05:44Z,-83.1051749,42.48845353
v2,2013-01-14T21:05:45Z,-83.10517266,42.48840517
v2,2013-01-14T21:05:46Z,-83.10517042,42.48835682
v2,2013-01-14T21:05:47Z,-83.10516818,42.48830847
v2,2013-01-14T21:05:48Z,-83.10516594,42.48826011
v2,2013-01-14T21:05:49Z,-83.1051637,42.48821176
v2,2013-01-14T21:05:50Z,-83.10516146,42.48816341
v2,2013-01-14T21:05:51Z,-83.10515921,42.48811505
v2,2013-01-14T21:05:52Z,-83.10515697,42.4880667
v2,2013-01-14T21:05:53Z,-83.10515473,42.48801834
v2,2013-01-14T21:05:54Z,-83.10515249,42.48796999
v2,2013-01-14T21:05:55Z,-83.10515025,42.48792164
v2,2013-01-14T21:05:56Z,-83.10514801,42.48787328
v2,2013-01-14T21:05:57Z,-83.10514577,42.48782493
v2,2013-01-14T21:05:58Z,-83.10514353,42.48777658
v2,2013-01-14T21:05:59Z,-83.10514128,42.48772822
